BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,BrewMethod
20974,Belgian Pale Pumpkin Ale,Irish Pale Ale,22.71,1.053,1.015,4.92,22.59,8.67,26.5,90,1.045,70,All Grain
51940,Lc10 Crystal Irish Cream Ale  dry hop,Irish Cream Ale,22.71,1.05,1.01,5.17,18.08,2.4,26.5,90,1.043,70,All Grain
53278,Red Wheat Irish Cream Ale,Irish Cream Ale,22.71,1.052,1.012,5.29,16,15.72,26.5,60,1.045,68,All Grain
26879,Belgian Session IPA,Irish Pale Ale,22.71,1.043,1.007,4.7,39.25,5.75,26.5,60,1.037,65,BIAB
44856,Fall Irish Red,Irish Red Ale,22.71,1.046,1.012,4.54,25.86,16.03,27.25,60,1.038,70,All Grain
6248,2015 - 4/4 - Sherlocks Irish Red v3,Irish Red Ale,22.71,1.078,1.024,7.15,34.71,14.78,27.44,60,1.065,68,All Grain
2878,Shiny Head Red,Irish Red Ale,22.71,1.066,1.018,6.29,27.12,20.32,27.44,60,1.054,65,All Grain
4601,Oatmeal Belgian Pale Ale V1.1,Irish Pale Ale,22.71,1.053,1.012,5.37,23.94,6.55,28.01,60,1.042,80,BIAB
72906,Golden Fields v1.1,Irish Cream Ale,22.71,1.052,1.01,5.49,12.59,3.87,28.01,90,1.042,75,BIAB
61178,Irish Stout 9-23-17,Irish Dry Stout,22.71,1.053,1.01,5.58,38.47,38.25,28.39,60,1.042,80,BIAB
28736,Something  probably a Sazon,Irish Pale Ale,22.71,1.075,1.017,7.62,32.33,6.07,28.39,60,1.06,80,All Grain
54546,Irish Stout,Irish Dry Stout,22.71,1.04,1.011,3.74,38.47,32.86,28.39,60,1.032,75,All Grain
70380,Test,Irish Cream Ale,22.71,1.049,1.011,4.93,0,3.04,28.39,60,1.039,75,BIAB
1008,CREAMY Irish Cream Ale,Irish Cream Ale,22.71,1.051,1.013,4.96,18.56,3.07,28.39,60,1.04,75,All Grain
34688,2015 vienna,Irish Lager,22.71,1.053,1.014,5.2,38.1,13.57,28.39,60,1.043,75,BIAB
33788,West Coast Radical Red,Irish Red Ale,22.71,1.049,1.009,5.24,46.28,9.46,28.39,60,1.039,75,BIAB
7818,Hoppy Red Ale,Irish Red Ale,22.71,1.061,1.018,5.54,27.93,13.82,28.39,60,1.048,75,All Grain
65740,Vienna Lager - Colonel Raul,Irish Lager,22.71,1.051,1.013,4.98,21.56,12.79,28.39,75,1.041,75,BIAB
71590,Negra Modelo Clone,Irish Lager,22.71,1.054,1.013,5.38,23.42,13.76,28.39,90,1.044,75,All Grain
2585,Patjesbier,Irish Pale Ale,22.71,1.051,1.008,5.64,39.98,4.09,28.39,90,1.04,75,All Grain
27863,Lc7 nelson sauvin Irish Cream Ale,Irish Cream Ale,22.71,1.06,1.008,6.8,10.18,2.85,28.39,90,1.048,74,All Grain
18203,R & C Irish Cream Ale,Irish Cream Ale,22.71,1.046,1.008,4.98,19.91,2.68,28.39,90,1.037,73,BIAB
3395,Genny Screamers,Irish Cream Ale,22.71,1.051,1.012,5.23,14.9,3.99,28.39,90,1.042,73,All Grain
27732,Lc6 columbus Irish Cream Ale,Irish Cream Ale,22.71,1.052,1.009,5.64,16.14,2.76,28.39,90,1.042,73,All Grain
68822,NHC Vienna Lager (orig),Irish Lager,22.71,1.051,1.013,4.96,28.61,15.81,28.39,60,1.041,72,All Grain
63579,Shotgun Shack,Irish Cream Ale,22.71,1.05,1.011,5.09,24.76,3.21,28.39,60,1.04,72,All Grain
17771,Alfie Dirty Blond Laphroaig Ale,Irish Red Ale,22.71,1.053,1.014,5.25,24.62,7.83,28.39,60,1.043,72,All Grain
25142,Irish Red,Irish Red Ale,22.71,1.05,1.013,4.81,26.85,14.52,28.39,90,1.04,72,All Grain
51649,Warwick's,Irish Red Ale,22.71,1.045,1.013,4.26,24.05,15.45,28.39,60,1.036,70,BIAB
72934,GG Helles,Irish Lager,22.71,1.047,1.014,4.28,40.21,4.7,28.39,60,1.037,70,extract
21854,Irish Cream Ale,Irish Cream Ale,22.71,1.042,1.007,4.59,19.24,4.95,28.39,60,1.034,70,All Grain
18219,Hoppy Irish Red,Irish Red Ale,22.71,1.052,1.015,4.94,48.18,16.76,28.39,60,1.042,70,All Grain
31310,Vienna,Irish Lager,22.71,1.051,1.013,5.05,24.82,15.95,28.39,60,1.041,70,All Grain
6292,Awesome Irish Red,Irish Red Ale,22.71,1.054,1.016,5.11,21.67,13.23,28.39,60,1.044,70,All Grain
48374,Who's Deanna,Irish Lager,22.71,1.056,1.015,5.38,21.3,8.67,28.39,60,1.045,70,All Grain
58908,Irish Cream Ale,Irish Cream Ale,22.71,1.053,1.009,5.79,16.48,6.42,28.39,60,1.042,70,All Grain
59150,Irish Red,Irish Red Ale,22.71,1.053,1.014,5.11,16.14,16.46,28.39,75,1.039,70,All Grain
44083,1214 Sunken Chest Belgian,Irish Pale Ale,22.71,1.045,1.011,4.42,13.01,4.85,28.39,90,1.036,70,All Grain
5439,Yellowhouse Wheat Lager,Irish Lager,22.71,1.052,1.014,5.01,23.92,10.33,28.39,90,1.042,70,All Grain
9531,Lager (Vienna  (Gold),Irish Lager,22.71,1.054,1.015,5.09,27.19,11.19,28.39,90,1.043,70,BIAB
60910,You Kilkenny  You Bastards,Irish Red Ale,22.71,1.053,1.014,5.1,25.11,16.94,28.39,90,1.043,70,All Grain
49013,LC11 crystal/chinook hop Irish Cream Ale,Irish Cream Ale,22.71,1.044,1.001,5.68,17.13,2.15,28.39,90,1.035,70,All Grain
55808,570 Rare Vos,Irish Pale Ale,22.71,1.057,1.013,5.81,20.16,7.94,28.39,90,1.046,70,All Grain
27660,Craic,Irish Red Ale,22.71,1.058,1.016,5.54,24.05,16.41,28.39,60,1.046,65,All Grain
15694,Lc4 chinook dark Irish Cream Ale,Irish Cream Ale,22.71,1.051,1.01,5.4,17.07,26.24,28.39,90,1.041,65,extract
32317,Two and a Half Kids Irish Cream Ale,Irish Cream Ale,22.71,1.042,1.009,4.27,14.03,4.19,28.39,60,1.033,63,All Grain
61450,Dry Irish Stout,Irish Dry Stout,22.71,1.048,1.012,4.7,31.41,34.72,29.34,60,1.037,81,All Grain
33508,Redish,Irish Red Ale,22.71,1.068,1.016,6.9,71.26,15.98,29.34,90,1.053,72,All Grain
